yard,treatment_group,lab_ID,field_ID,colony_size,queen_year,date_collected,sampling_event,year,queen_breeder,queen_breeder_year,overwinter_success,frame_of_brood,frame_of_bees_FHA,frame_of _bees_date,frame_of_bees,brood_amnt,brood_pat,queen_status,disease_present,FKB_start_date,FKB_end_date,FKB_start_uncapped,FKB_start_capped,FKB_end_capped,FKB_percentile,UBO_date,UBO_T0,UBO_T2,UBO_T0_capped,UBO_T2_capped,UBO_assay_score,RNA_ext_date,virus_count,varroa_count,nosema_count,varroa_load_mites.100.bees,nosema_load_spores.bee,treated,honey_removed,october_weight,pollen_sub_added,comments,,,,
Camisa,,46,13,full,,5/26/2021,1,2021,69,2020,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,
Camisa,,43,10,full,,5/26/2021,1,2021,69,2020,,,,,,6,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,44,5,full,,5/26/2021,1,2021,69,2020,,,,,,6,,,,,,,,,,,,,,,,,,0,2,0,100000,,,,,,,,,
Camisa,,42,11,full,,5/26/2021,1,2021,69,2020,,,,,,7,,,,,,,,,,,,,,,,,,0,2,0,100000,,,,,,,,,
Camisa,,48,19,full,,5/26/2021,1,2021,69,2020,,,,,,7,,,,,,,,,,,,,,,,,,0,2,0,100000,,,,,,,,,
Camisa,,45,16,full,,5/26/2021,1,2021,69,2020,,,,,,6,,,,,,,,,,,,,,,,,,0,5,0,250000,,,,,,,,,
Camisa,,47,14,full,,5/26/2021,1,2021,69,2020,,,,,,6,,,,,,,,,,,,,,,,,,0,1,0,50000,,,,,,,,,
Yandow,,59,2,full,,6/2/2021,1,2021,76,2019,,,10+,,10,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,60,9,full,,6/2/2021,1,2021,69,2019,,,12,,12,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,61,UVM1,full,,6/2/2021,1,2021,69,2020,,,,,,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,62,UVM2,full,,6/2/2021,1,2021,75,2020,,,,,,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,63,UVM3,full,,6/2/2021,1,2021,76,2020,,,,,,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,64,UVM4,full,,6/2/2021,1,2021,75,2020,,,,,,7,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,65,24,full,,6/2/2021,1,2021,78,2019,,,7,,7,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,66,UVM5,full,,6/2/2021,1,2021,69,2020,,,,,,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Allard,,56,25,full,,6/2/2021,1,2021,78,2019,,,8,,8,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Allard,,49,14,full,,6/2/2021,1,2021,78,2019,,,12+,,12,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Allard,,55,20,full,,6/2/2021,1,2021,,2019,,,12,,12,,,,,,,,,,,,,,,,,,,5,0,1.666666667,0,,,,,,,,,
Allard,,58,7,full,,6/2/2021,1,2021,69,2020,,,9+,,9,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Allard,,50,8,full,,6/2/2021,1,2021,68 NDQ,2018,,,10,,10,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Allard,,53,15,full,,6/2/2021,1,2021,69,2019,,,8,,8,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Allard,,57,9,full,,6/2/2021,1,2021,65,2019,,,15+,,15,,,,,,,,,,,,,,,,,,,2,0,0.6666666667,0,,,,,,,,,
Allard,,51,16,full,,6/2/2021,1,2021,67,2019,,,12,,12,,,,,,,,,,,,,,,,,,,3,0,1,0,,,,,,,,,
Allard,,52,18,full,,6/2/2021,1,2021,67,2019,,,15+,,15,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Allard,,54,17,full,,6/2/2021,1,2021,69,2019,,,8,,8,,,,,,,,,,,,,,,,,,,4,0,1.333333333,0,,,,,,,,,
Martin,,29,21G,full,,6/24/2021,2,2021,69,2019,,,,,,,,SWMD 6/22,,6/22/21,6/24/21,16,144,15,0.896,,,,,,,,,0,2,0,100000,,,,,,,,,
Martin,,31,22G,full,,6/24/2021,2,2021,78,2019,,,,,,,,,,6/22/21,6/24/21,25,135,5,0.963,,,,,,,,,1,3,0.3333333333,150000,,,,,,,,,
Martin,,26,16G,full,,6/24/2021,2,2021,NDQ,,,,,,,,,,,6/22/21,6/24/21,24,136,30,0.779,,,,,,,,,0,0,0,0,,,,,,,,,
Martin,,21,14G,full,,6/24/2021,2,2021,,,,,,,,,,,,6/22/21,6/24/21,8,152,67,0.559,,,,,,,,,3,0,1,0,,,,,,,,,
Martin,,23,02G,full,,6/24/2021,2,2021,77,2019,,,,,,,,,,6/22/21,6/24/21,12,148,31,0.791,,,,,,,,,4,0,1.333333333,0,,,,,,,,,
Martin,,24,25G,full,,6/24/2021,2,2021,67,2018,,,,,,,,,,6/22/21,6/24/21,24,136,35,0.743,,,,,,,,,4,0,1.333333333,0,,,,,,,,,
Martin,,22,14GA,full,,6/24/2021,2,2021,,,,,,,,,,,,6/22/21,6/24/21,8,152,36,0.763,,,,,,,,,0,0,0,0,,,,,,,,,
Martin,,32,18G,full,,6/24/2021,2,2021,,,,,,,,,,,,6/22/21,6/24/21,4,156,78,0.500,,,,,,,,,0,0,0,0,,,,,,,,,
Martin,,28,27G,full,,6/24/2021,2,2021,75,2020,,,,,,,,,,6/22/21,6/24/21,20,140,49,0.650,,,,,,,,,3,0,1,0,,,,,,,,,
Martin,,25,26G,full,,6/24/2021,2,2021,69,2017,,,,,,,,,,6/22/21,6/24/21,15,145,3,0.979,,,,,,,,,0,0,0,0,,,,,,,,,
Martin,,30,19G,full,,6/24/2021,2,2021,,,,,,,,,,,,6/22/21,6/24/21,3,157,119,0.242,,,,,,,,,10,1,3.333333333,50000,,,,,,,,,
Martin,,33,08G,full,,6/24/2021,2,2021,,,,,,,,,,,,6/22/21,6/24/21,0,160,6,0.963,,,,,,,,,1,0,0.3333333333,0,,,,,,,,,
Martin,,27,11,full,,6/24/2021,2,2021,65,2020,,,,,,,,,,6/22/21,6/24/21,10,150,66,0.560,,,,,,,,,10,3,3.333333333,150000,,,,,,,,,
Fortin,,80,2,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,24,136,20,0.853,,,,,,,,,0,2,0,100000,,,,,,,,,
Fortin,,75,4,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,NA,NA,NA,NA,,,,,,,,,0,28,0,1400000,,,,,new Q,,,,
Fortin,,73,9,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,14,146,101,0.308,,,,,,,,,2,0,0.6666666667,0,,,,,re-do HB test,,,,
Fortin,,74,6,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,11,149,19,0.872,,,,,,,,,0,5,0,250000,,,,,,,,,
Fortin,,81,10,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,26,134,33,0.754,,,,,,,,,0,7,0,350000,,,,,,,,,
Fortin,,76,20,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,20,140,59,0.579,,,,,,,,,5,0,1.666666667,0,,,,,,,,,
Fortin,,78,21,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,14,146,66,0.548,,,,,,,,,0,0,0,0,,,,,,,,,
Fortin,,79,22,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,16,144,83,0.424,,,,,,,,,0,0,0,0,,,,,,,,,
Fortin,,77,19,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,23,137,49,0.642,,,,,,,,,5,1,1.666666667,50000,,,,,,,,,
Fortin,,82,25,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,24,136,46,0.662,,,,,,,,,3,4,1,200000,,,,,,,,,
Fortin,,83,16,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,5,155,59,0.619,,,,,,,,,1,2,0.3333333333,100000,,,,,,,,,
Ferland,,68,3,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,15,145,57,0.607,,,,,,,,,4,3,1.333333333,150000,,,,,,,,,
Ferland,,67,1,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,31,129,58,0.550,,,,,,,,,2,0,0.6666666667,0,,,,,,,,,
Ferland,,69,18,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,NA,NA,NA,NA,,,,,,,,,1,2,0.3333333333,100000,,,,,,,,,
Ferland,,70,22,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,21,139,26,0.813,,,,,,,,,0,2,0,100000,,,,,,,,,
Ferland,,71,21,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,10,150,62,0.587,,,,,,,,,1,3,0.3333333333,150000,,,,,,,,,
Ferland,,72,20,full,,6/25/2021,2,2021,,,,,,,,,,,,6/23/21,6/25/21,38,122,39,0.680,,,,,,,,,0,16,0,800000,,,,,,,,,
Brigham,,35,1,full,,6/24/2021,2,2021,69,2020,,,,,,,,,,6/22/21,6/24/21,12,148,85,0.426,,,,,,,,,0,1,0,50000,,,,,,,,,
Brigham,,38,7,full,,6/24/2021,2,2021,75,2020,,,,,,,,,,6/22/21,6/24/21,20,140,13,0.907,,,,,,,,,0,0,0,0,,,,,,,,,
Brigham,,36,4,full,,6/24/2021,2,2021,75,2020,,,,,,,,,,6/22/21,6/24/21,9,151,81,0.464,,,,,,,,,0,0,0,0,,,,,,,,,
Brigham,,39,13,full,,6/24/2021,2,2021,76,2019,,,,,,,,,,6/22/21,6/24/21,16,144,109,0.243,,,,,,,,,0,4,0,200000,,,,,,,,,
Brigham,,41,6,full,,6/24/2021,2,2021,69,2020,,,,,,,,,,6/22/21,6/24/21,1,159,35,0.780,,,,,,,,,0,1,0,50000,,,,,,,,,
Brigham,,40,11,full,,6/24/2021,2,2021,76,2020,,,,,,,,,,6/22/21,6/24/21,15,145,9,0.938,,,,,,,,,0,0,0,0,,,,,,,,,
Brigham,,34,2,full,,6/24/2021,2,2021,75,2020,,,,,,,,,,6/22/21,6/24/21,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,,,,,,,,,
Brigham,,37,5,full,,6/24/2021,2,2021,75,2020,,,,,,,,,,6/22/21,6/24/21,10,150,41,0.727,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,46,13,full,,6/24/2021,2,2021,69,2020,,,,,,,,,,6/22/21,6/24/21,22,138,21,0.848,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,43,10,full,,6/24/2021,2,2021,69,2020,,,,,,,,,,6/22/21,6/24/21,14,146,65,0.555,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,44,5,full,,6/24/2021,2,2021,69,2020,,,,,,,,,,6/22/21,6/24/21,6,154,58,0.623,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,42,11,full,,6/24/2021,2,2021,69,2020,,,,,,,,,,6/22/21,6/24/21,20,140,66,0.529,,,,,,,,,1,1,0.3333333333,50000,,,,,,,,,
Camisa,,48,19,full,,6/24/2021,2,2021,69,2020,,,,,,,,,,6/22/21,6/24/21,22,138,47,0.659,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,45,16,full,,6/24/2021,2,2021,69,2020,,,,,,,,,,6/22/21,6/24/21,4,156,37,0.763,,,,,,,,,1,0,0.3333333333,0,,,,,,,,,
Camisa,,47,14,full,,6/24/2021,2,2021,69,2020,,,,,,,,,,6/22/21,6/24/21,3,157,62,0.605,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,59,2,full,,6/25/2021,2,2021,76,2019,,,,,,,,,,6/23/21,6/25/21,13,147,48,0.673,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,60,9,full,,6/25/2021,2,2021,69,2019,,,,,,,,,,6/23/21,6/25/21,12,148,70,0.527,,,,,,,,,1,0,0.3333333333,0,,,,,Incomplete (pupae partially alive after HB test- needs re-do),,,,
Yandow,,61,UVM1,full,,6/25/2021,2,2021,69,2020,,,,,,,,,,6/23/21,6/25/21,38,122,21,0.828,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,62,UVM2,full,,6/25/2021,2,2021,75,2020,,,,,,,,,,6/23/21,6/25/21,0,160,117,0.269,,,,,,,,,0,0,0,0,,,,,Incomplete,,,,
Yandow,,63,UVM3,full,,6/25/2021,2,2021,76,2020,,,,,,,,,,6/23/21,6/25/21,6,154,82,0.468,,,,,,,,,0,0,0,0,,,,,successful freeze,,,,
Yandow,,64,UVM4,full,,6/25/2021,2,2021,75,2020,,,,,,,,SWMD ?,,6/23/21,6/25/21,18,142,81,0.430,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,65,24,full,,6/25/2021,2,2021,78,2019,,,,,,,,,,6/23/21,6/25/21,13,147,64,0.565,,,,,,,,,0,0,0,0,,,,,,,,,
Yandow,,66,UVM5,full,,6/25/2021,2,2021,69,2020,,,,,,,,,,6/23/21,6/25/21,14,146,78,0.466,,,,,,,,,0,0,0,0,,,,,Incomplete,,,,
Allard,,56,25,full,,6/24/2021,2,2021,78,2019,,,,,,,,,,6/22/21,6/24/21,15,145,29,0.800,,,,,,,,,0,1,0,50000,,,,,,,,,
Allard,,49,14,full,,6/24/2021,2,2021,78,2019,,,,,,,,,,6/22/21,6/24/21,9,151,26,0.828,,,,,,,,,2,0,0.6666666667,0,,,,,,,,,
Allard,,55,20,full,,6/24/2021,2,2021,,2019,,,,,,,,,,6/22/21,6/24/21,13,147,69,0.531,,,,,,,,,14,0,4.666666667,0,,,,,,,,,
Allard,,58,7,full,,6/24/2021,2,2021,69,2020,,,,,,,,,,6/22/21,6/24/21,4,156,84,0.462,,,,,,,,,3,0,1,0,,,,,,,,,
Allard,,50,8,full,,6/24/2021,2,2021,68 NDQ,2018,,,,,,,,,,6/22/21,6/24/21,17,143,44,0.692,,,,,,,,,2,0,0.6666666667,0,,,,,,,,,
Allard,,53,15,full,,6/24/2021,2,2021,69,2019,,,,,,,,,,6/22/21,6/24/21,26,134,6,0.955,,,,,,,,,7,0,2.333333333,0,,,,,,,,,
Allard,,57,9,full,,6/24/2021,2,2021,65,2019,,,,,,,,,,6/22/21,6/24/21,21,139,62,0.554,,,,,,,,,7,0,2.333333333,0,,,,,,,,,
Allard,,51,16,full,,6/24/2021,2,2021,67,2019,,,,,,,,,,6/22/21,6/24/21,30,130,9,0.931,,,,,,,,,4,0,1.333333333,0,,,,,,,,,
Allard,,52,18,full,,6/24/2021,2,2021,67,2019,,,,,,,,,,6/22/21,6/24/21,4,156,44,0.718,,,,,,,,,2,0,0.6666666667,0,,,,,,,,,
Allard,,54,17,full,,6/24/2021,2,2021,69,2019,,,,,,,,,,6/22/21,6/24/21,27,133,42,0.684,,,,,,,,,12,0,4,0,,,,,,,,,
Martin,,29,21G,full,,8/5/2021,3,2021,69,2019,,,,,,,,,,,,,,,,,,,,,,,,6,1,2,50000,x,,,,,,,,
Martin,,31,22G,full,,8/5/2021,3,2021,78,2019,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,x,,,,,,,,
Martin,,26,16G,full,,8/5/2021,3,2021,NDQ,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.6666666667,0,x,,,,,,,,
Martin,,21,14G,full,,8/5/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,5,0,x,,,,,,,,
Martin,,23,02G,full,,8/5/2021,3,2021,77,2019,,,,,,,,,,,,,,,,,,,,,,,,20,1,6.666666667,50000,x,,,,,,,,
Martin,,24,25G,full,,8/5/2021,3,2021,67,2018,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,50000,x,,,,,,,,
Martin,,22,14GA,full,,8/5/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,3.666666667,0,x,,,,,,,,
Martin,,32,18G,full,,8/5/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1.666666667,0,x,,,,,,,,
Martin,,28,27G,full,,8/5/2021,3,2021,75,2020,,,,,,,,,,,,,,,,,,,,,,,,15,0,5,0,x,,,,,,,,
Martin,,25,26G,full,,8/5/2021,3,2021,69,2017,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3333333333,0,x,,,,,,,,
Martin,,30,19G,full,,8/5/2021,3,2021,,,,,,,,,,,signs of chalkbrood,,,,,,,,,,,,,,,22,0,7.333333333,0,x,,,,,,,,
Martin,,33,08G,full,,8/5/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1.333333333,50000,x,,,,,,,,
Martin,,27,11,full,,8/5/2021,3,2021,65,2020,,,,,,,,,,,,,,,,,,,,,,,,22,1,7.333333333,50000,x,,,,,,,,
Fortin,,80,2,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Fortin,,75,4,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Fortin,,73,9,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Fortin,,74,6,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3333333333,0,,,,,,,,,
Fortin,,81,10,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1.333333333,0,,,,,,,,,
Fortin,,76,20,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,8,0,,,,,,,,,
Fortin,,78,21,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1.333333333,0,,,,,,,,,
Fortin,,79,22,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.6666666667,0,,,,,,,,,
Fortin,,77,19,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,8,0,,,,,,,,,
Fortin,,82,25,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,,,,,,,,,
Fortin,,83,16,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,,,,,,,,,
Ferland,,68,3,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1.333333333,0,,,,,,,,,
Ferland,,67,1,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,3.333333333,0,,,,,,,,,
Ferland,,69,18,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1,0,,,,,,,,,
Ferland,,70,22,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,4,0,,,,,,,,,
Ferland,,71,21,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,3.333333333,0,,,,,,,,,
Ferland,,72,20,full,,8/7/2021,3,2021,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,1.666666667,0,,,,,,,,,
Brigham,,35,1,full,,8/5/2021,3,2021,69,2020,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.3333333333,50000,,,,,,,,,
Brigham,,38,7,full,,8/5/2021,3,2021,75,2020,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3333333333,0,,,,,,,,,
Brigham,,36,4,full,,8/5/2021,3,2021,75,2020,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3333333333,0,,,,,,,,,
Brigham,,39,13,full,,8/5/2021,3,2021,76,2019,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Brigham,,41,6,full,,8/5/2021,3,2021,69,2020,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Brigham,,40,11,full,,8/5/2021,3,2021,76,2020,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,50000,,,,,,,,,
Brigham,,34,2,full,,8/5/2021,3,2021,75,2020,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,
Brigham,,37,5,full,,8/5/2021,3,2021,75,2020,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,46,13,full,,8/5/2021,3,2021,69,2020,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,43,10,full,,8/5/2021,3,2021,69,2020,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,44,5,full,,8/5/2021,3,2021,69,2020,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,42,11,full,,8/5/2021,3,2021,69,2020,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,48,19,full,,8/5/2021,3,2021,69,2020,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
Camisa,,45,16,full,,8/5/2021,3,2021,69,2020,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.3333333333,0,,,,,,,,,
Camisa,,47,14,full,,8/5/2021,3,2021,69,2020,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,
