# Experiment File Name : Alger-SA-18072.eds
# Created By :alexburn17@gmail.com
# Last Modified Date : 2023-05-08 09:38:36 AM
# Instrument Type : QuantStudio 6 Real-Time PCR System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit",
"A1","167","DWV","1.222","Amp","UNKNOWN","15.316","14.601","1.011","473190.8","831577.9","506835.8","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","10.0","false",
"A2","155","DWV","1.225","Amp","UNKNOWN","21.599","21.301","0.421","8226.717","10150.146","2720.141","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","17.0","false",
"A3","170","DWV","1.271","Amp","UNKNOWN","23.155","23.549","0.557","3014.889","2414.281","849.387","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","19.0","false",
"A4","116","DWV","1.392","Amp","UNKNOWN","15.535","16.081","0.772","411043.56","307141.22","146940.12","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","11.0","false",
"A5","96","DWV","1.414","Amp","UNKNOWN","11.830","12.296","0.658","4482227.0","3470505.2","1430790.8","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","7.0","false",
"A6","113","DWV","1.421","Amp","UNKNOWN","13.469","13.846","0.533","1557482.1","1257753.6","423880.1","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","9.0","false",
"A7","135","DWV","1.419","Amp","UNKNOWN","14.615","14.64","0.035","743674.44","731954.94","16573.842","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","10.0","false",
"A8","105","DWV","1.437","Amp","UNKNOWN","15.192","15.427","0.332","512578.22","445638.75","94666.69","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","11.0","false",
"A9","111","DWV","1.418","Amp","UNKNOWN","27.765","28.236","0.665","154.10776","119.05","49.578","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","23.0","false",
"A10","85","DWV","1.415","Amp","UNKNOWN","27.160","27.249","0.126","227.7055","215.342","17.485","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","22.0","false",
"A11","98","DWV","1.433","Amp","UNKNOWN","12.108","12.159","0.073","3747502.2","3627397.8","169853.45","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","8.0","false",
"A12","gblock","DWV","1.458","Amp","UNKNOWN","Undetermined","-","-","1.75992238E10","-","-","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","3.0","false",
"B1","167","DWV","1.435","Amp","UNKNOWN","13.887","14.601","1.011","1189964.9","831577.9","506835.8","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","10.0","false",
"B2","155","DWV","1.439","Amp","UNKNOWN","21.004","21.301","0.421","12073.577","10150.146","2720.141","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","16.0","false",
"B3","170","DWV","1.441","Amp","UNKNOWN","23.943","23.549","0.557","1813.6741","2414.281","849.387","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","19.0","false",
"B4","116","DWV","1.456","Amp","UNKNOWN","16.627","16.081","0.772","203238.86","307141.22","146940.12","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","11.0","false",
"B5","96","DWV","1.459","Amp","UNKNOWN","12.761","12.296","0.658","2458783.2","3470505.2","1430790.8","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","8.0","false",
"B6","113","DWV","1.444","Amp","UNKNOWN","14.223","13.846","0.533","958025.1","1257753.6","423880.1","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","10.0","false",
"B7","135","DWV","1.452","Amp","UNKNOWN","14.665","14.64","0.035","720235.5","731954.94","16573.842","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","10.0","false",
"B8","105","DWV","1.453","Amp","UNKNOWN","15.662","15.427","0.332","378699.28","445638.75","94666.69","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","11.0","false",
"B9","111","DWV","1.435","Amp","UNKNOWN","28.706","28.236","0.665","83.993195","119.05","49.578","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","24.0","false",
"B10","85","DWV","1.426","Amp","UNKNOWN","27.338","27.249","0.126","202.97798","215.342","17.485","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","22.0","false",
"B11","98","DWV","1.446","Amp","UNKNOWN","12.211","12.159","0.073","3507293.2","3627397.8","169853.45","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","8.0","false",
"B12","NTC","DWV","1.344","Amp","NTC","35.286","-","-","-","-","-","35.57592","0.9939175","-3.569952","90.6","true","0.114","true","3.0","31.0","false",
"C1","167","ACTIN","1.56","Amp","UNKNOWN","15.212","15.022","0.269","797657.25","908417.9","156639.16","36.29999","0.9990826","-3.57306","90.49","true","0.3","true","3.0","10.0","false",
"C2","155","ACTIN","1.551","Amp","UNKNOWN","14.943","14.973","0.043","948831.75","930694.5","25649.967","36.29999","0.9990826","-3.57306","90.49","true","0.3","true","3.0","10.0","false",
"C3","170","ACTIN","1.555","Amp","UNKNOWN","15.348","15.434","0.121","730713.5","692445.06","54119.676","36.29999","0.9990826","-3.57306","90.49","true","0.3","true","3.0","9.0","false",
"C4","116","ACTIN","1.551","Amp","UNKNOWN","15.129","15.202","0.104","841820.5","803841.75","53710.09","36.29999","0.9990826","-3.57306","90.49","true","0.3","true","3.0","10.0","false",
